place_id,name,address,types,region,lad_code,imd_quintile,is_true_salon,notes
ChIJARM5aMUFbUgRW8tceybyFh0,Home Bargains,"Unit 6 Newton Rd, Kingsteignton, Newton Abbot TQ12 3AF, UK",discount_store;discount_supermarket;establishment;food;food_store;grocery_store;point_of_interest;store;supermarket,SW_England,E07000045,3,False,Supermarket / food retailer
ChIJB4eOXGwHbUgR6dqD8E6Ya4s,Nails and Beauty at 10,"10 Culver Ln, Chudleigh, Newton Abbot TQ13 0PQ, UK",beauty_salon;establishment;point_of_interest;service,SW_England,E07000045,3,False,Web-checked: no UV sunbed services found
ChIJB5z4bOoFbUgRWom2GxGhMDU,Sainsbury's,"Penn Inn, Newton Abbot TQ12 1BN, UK",bakery;establishment;food;food_store;grocery_store;point_of_interest;store;supermarket,SW_England,E07000045,3,False,Supermarket / food retailer
ChIJDTZ3FuoHbUgRoBsqvQhkXeU,Perfect Beauty,"69 Fore St., Chudleigh, Newton Abbot TQ13 0HT, UK",beauty_salon;establishment;nail_salon;point_of_interest;service,SW_England,E07000045,3,False,Web-checked: no UV sunbed services found
ChIJG1Ln2wz-bEgRlMDB6K0JmzY,Tan -Counselling & Psychotherapy,"6 Beacon Cottages, Buckland in the Moor, Newton Abbot TQ13 7HL, UK",establishment;health;point_of_interest;service,SW_England,E07000045,3,False,Known non-salon - manually excluded
ChIJJ9dnfcUFbUgRFmc8CNmqsmE,Erase That Ink,"1, Milber Court, 18 Twickenham Road, Newton Abbot TQ12 4JE, UK",beauty_salon;body_art_service;establishment;hair_care;health;medical_clinic;point_of_interest;service,SW_England,E07000045,3,False,Web-checked: no UV sunbed services found
ChIJMatTeH4HbUgRA-1BgG9kmb4,Haytor Therapies,"29 Templer Pl, Bovey Tracey, Newton Abbot TQ13 9GN, UK",beauty_salon;establishment;point_of_interest;service,SW_England,E07000045,3,False,Web-checked: no UV sunbed services found
ChIJP_xbwTz9bEgRLgVG6ibtQyI,Beautifully Bronzed Spray Tanning,"37 Oaklands Park, Buckfastleigh TQ11 0BW, UK",establishment;point_of_interest;service;tanning_studio,SW_England,E07000045,3,True,
ChIJeRUhGIMFbUgRx0Uhn5EfAMA,Lidl,"Newton Rd, Kingsteignton, Newton Abbot TQ12 3AQ, UK",establishment;food;food_store;grocery_store;point_of_interest;store;supermarket,SW_England,E07000045,3,False,Supermarket / food retailer
ChIJk-361OcBbUgRwk7ujRdDMLk,Lidl,"Monks Way, Bovey Tracey, Newton Abbot TQ13 9JZ, UK",establishment;food;food_store;grocery_store;point_of_interest;store;supermarket,SW_England,E07000045,3,False,Supermarket / food retailer
ChIJq5UXZwwGbUgRln81WMXy3Es,Just Beauty Studio,"7 Clifford St, Kingsteignton, Newton Abbot TQ12 3HD, UK",beauty_salon;establishment;point_of_interest;service,SW_England,E07000045,3,True,Web-confirmed: listed in Secret Salons Newton Abbot sunbeds directory confirming UV sunbed provision
ChIJqwAKTlsJbUgRBF5gOicNB-4,Billie Edge Makeup Artist & Hair Stylist,"13 The Knowle, Kingsteignton, Newton Abbot TQ12 3GD, UK",establishment;hair_care;hair_salon;makeup_artist;point_of_interest;service,SW_England,E07000045,3,False,Web-checked: no UV sunbed services found
ChIJt43rMOIHbUgRC30JZJKioxk,Boots,"Unit 2 Greenhill Way Retail, Park, Kingsteignton, Newton Abbot TQ12 3SB, UK",beauty_salon;child_care_agency;clothing_store;cosmetics_store;electronics_store;establishment;gift_shop;home_goods_store;point_of_interest;service;store,SW_England,E07000045,3,False,Chain pharmacy or foot clinic - no sunbeds
ChIJK7gYMk4FbUgRhelxnE0P3WU,The Beauty Cabin Dainton,"The Beauty Cabin, Dainton, Newton Abbot TQ12 5TN, UK",beauty_salon;establishment;nail_salon;point_of_interest;service,SW_England,E07000045,4,False,Web-checked: no UV sunbed services found
ChIJSauVMcymbUgRhf6sz_StdKw,Curl-Up Beauty,"30 Pridhams Way, Exminster, Exeter EX6 8TA, UK",beautician;beauty_salon;establishment;hair_care;health;massage;massage_spa;medical_clinic;nail_salon;point_of_interest;service;skin_care_clinic;spa,SW_England,E07000045,4,False,Web-checked: no UV sunbed services found
ChIJTVbwfrC1jksRrecyjvJCITI,Afterglow TG_Tanning,"Higher Coombe Dr, Teignmouth TQ14 9LS, UK",beauty_salon;establishment;establishmenttanning_studio;point_of_interest;service;tanning_studio,SW_England,E07000045,4,True,
ChIJk4FgWM2mbUgRqzvS5HtNKUg,Exminster Hair & Beauty,"Main Street, Exminster, Exeter EX6 8DB, UK",beauty_salon;establishment;hair_care;hair_salon;point_of_interest;service,SW_England,E07000045,4,False,Web-checked: no UV sunbed services found
ChIJqRaGtrIFbUgRM3IjGrvT1nU,Lotus Spa Centre Ltd,"14a, The, Old Cider Works Ln, Abbotskerswell, Newton Abbot TQ12 5NF, UK",beauty_salon;establishment;point_of_interest;service,SW_England,E07000045,4,False,Web-checked: no UV sunbed services found
ChIJPbyfgxQGbUgRL3lbskJ06g0,The White Room,"159 Exeter Rd, Kingsteignton, Newton Abbot TQ12 3NQ, UK",establishment;establishmenthair_salon;hair_care;hair_salon;point_of_interest;service,SW_England,E07000045,5,False,Web-checked: no UV sunbed services found
ChIJ-9TUqbA_bEgRm0qkTkjnd_I,Oh My Aesthetics,"1 Lower Gunstone, Bideford EX39 2DE, UK",beauty_salon;establishment;point_of_interest;service,SW_England,E07000046,1,False,Web-checked: no UV sunbed services found
ChIJL2JIM3U-bEgR0BlnguNsf18,Beauty & The Bleach,"74b High St, Bideford EX39 2AA, UK",barber_shop;beauty_salon;body_art_service;establishment;hair_care;hair_salon;health;medical_clinic;point_of_interest;service;skin_care_clinic;spa,SW_England,E07000046,1,False,Web-checked: no UV sunbed services found
